Job_Link,Job_txt,company,job_title,Location,job_type,job_date
https://www.welcometothejungle.com/fr/companies/elevate/jobs/consultant-e-data-engineer-senior-f-h_paris?q=2036aa70510b784c4c01c14aac4183de&o=5a3a729f-59a9-4863-a8c1-f723a7d8b77a," Animer des ateliers afin d’étudier et cadrer les besoins clientsPréconiser les solutions et architectures ciblesDéfinir les méthodologies de déploiement et plans de migrationRédiger les dossiers d’architecture et spécifications techniques Concevoir et mettre en place des systèmes de données résilients et sécurisés (data warehouse, data lake, systèmes temps-réels)Construire et déployer les pipelines de données (ETL)Assurer la migration des données vers les nouveaux environnements Analyser les données sources afin d’identifier et évaluer des cas d’usage métierMettre en oeuvre des outils de Business Intelligence et visualisation (DataStudio, Tableau, QlikView…)Sélectionner, entraîner, évaluer et déployer des modèles prédictifs en s’appuyant sur les outils standards du domaine (TensorFlow, Keras, Scikit Learn) Formation: bac+5 en école d’ingénieur, master 2 en informatique ou formation équivalenteExpérience significative au sein de projets data : architecture, traitement ou analyse de données4 ans d’expérience Esprit analytique, rigueur, logique et approche méthodiqueBon esprit d’initiative, capacité à travailler de manière autonome et dynamique dans une activité en pleine croissanceSens du service, aisance relationnelle La maîtrise d’au moins un langage de programmation appliqué à l’analyse de données (R, Python, SQL)Maîtrise obligatoire d’au moins un des Cloud Providers publiques (Google Cloud Platform, Microsoft Azure, AWS, etc.)De bonnes connaissances dans l’architecture des systèmes, bases de données, méthodologies d’analyseExcellente communication écrite et oraleMaîtrise professionnelle de l’anglais Rejoindre une agence de conseil à taille humaine.Une entreprise fondée autour de la formation et la montée en compétences de chaque membre de l’équipe.Un management humain et respectueux de toutes et tous.De la place pour les initiatives innovantes et créatives.Une politique de télétravail flexible et basée sur le choix !Des parcours de carrières adaptés à chacun.es Une rémunération fixe, attractive et basée en fonction de votre niveau d’impact et d’expertise observé durant nos entretiensDes bureaux en plein Paris (mais aussi à Nantes, Lille, Lyon & Bordeaux 🇫🇷)Une assurance santé complémentaire avec Alan 🩺Une carte Swile pour vos tickets restaurants (10€ par jour) 🍽Le remboursement des frais de transport en commun à 50%Des primes d’abondement, d’intéressement et une épargne salariale avec EpsorUn abonnement Urban Sport Club",Elevate,Cloud Data Engineer Senior,Paris,CDI,2024-07-11
https://www.welcometothejungle.com/fr/companies/france-active/jobs/ingenieur-e-date-finance_montreuil?q=2036aa70510b784c4c01c14aac4183de&o=295965e4-e741-4cb0-af1a-04336ad4a938," Collaborer étroitement avec l’équipe Trésorerie, Placements & Pilotage pour comprendre les besoins et créer des solutions adaptéesParticiper à la conception et la modélisation des bases de données pour la Business Intelligence (BI), incluant la collecte, le nettoyage et l’industrialisation des donnéesDévelopper et intégrer les composants du système BI, en assurant la qualité et la cohérence des donnéesDévelopper des modèles statistiques à partir des données, y compris leur implémentation, les tests, le reporting, le suivi de production, la maintenance et la documentationDéployer les solutions BI en production, en garantissant leur performance et leur conformité aux standards internes Excellente capacité d’analyse et de synthèseSolides compétences techniques dans les outils langages de traitement des données (SQL, Python, etc.)Expérience dans les secteurs du data warehousing et architectures BIMaîtrise des concepts et des technologies liés au Big Data et au data miningConnaissances approfondies en modélisation de données et en conception de bases de donnéesConnaissances des outils et plateformes de visualisation de données (PowerBI, etc.)Capacité à travailler de manière autonome, avec un bon sens de l’organisation et de la rigueurBon relationnel et forte aptitude à coopérer   Esprit de synthèse ; capacité à formaliser et à structurerCapacités rédactionnellesOrganisation, autonomie et rigueurForce de proposition, créativité et curiosité",France Active,Ingénieur.e Date Finance,Montreuil,Alternance(12 à 24 mois),2024-07-11
https://www.welcometothejungle.com/fr/companies/converteo/jobs/consultant-senior-analytics-engineering-h-f-cdi_paris_CONVE_r882gzr?q=2036aa70510b784c4c01c14aac4183de&o=37ad90c9-6562-4af0-9ddd-143f232808dc," Gestion et suivi de projets requérant des compétences de Data Governance, d’Analytics Engineering (mise à disposition de jeux de données pour réalisation de cas d’usage métiers, rapports critiques, data gouvernance, amélioration de la qualité des données) ou de Business IntelligenceContribution individuelle à des missions de Data Governance, d’Analytics Engineering ou de Business Intelligence Rédaction d’articles, retours d’expériences, participation et organisation d’évènementsParticiper à l’animation de la communauté “Analytics Engineering” (diffusion bonnes pratiques, capitalisation code, veille techno, etc.) Diplômé d’une école d’ingénieur, de commerce ou d’un Master en Informatique, vous justifiez d’une expérience entre 3 - 6 ans et possédez également une réelle appétence pour les sujets Data.Vous êtes reconnu(e) pour votre autonomie, votre force de proposition votre proactivité ;Vous avez déjà participé à la construction de solutions data scalables, utiles et durables ;Vous savez mener un projet analytique de bout en bout et communiquer sur les résultats ;Vous possédez une vision claire des principes de la sécurité des données et de la conformité ;Votre capacité à faire grandir vos collègues en toute bienveillance et à les amener à travailler ensemble efficacement n’est plus à démonter ;Vous parlez anglais et avez la capacité de gérer des projets de dimension internationale. Un Cloud Data Warehouse (Snowflake, Google BigQuery, RedShift)Un outil de BI en visualisation et en préparation à un niveau avancé en étant idéalement certifié (PowerBI, Looker, Tableau, Qlik)Un outil de transformation moderne (dbt, Snowflake, Dataform, LookML ou Python…) Notions sur un outil de transformationUn niveau avancé en SQL (Window fonctions, Joins, Index, Partition etc…)La maîtrise d’une solution de versionnage de code suivante est appréciée (GitHub, GitLab, Azure DevOps, BitBucket, Ad hoc)Une expérience de mise en production et de maintenance d’un pipeline data de la donnée brute jusqu’à l’utilisateur final est appréciée Locaux situés à Paris intramuros : 117 Quai de Valmy - 75010 ParisContrat en CDI, statut CadrePoste à pourvoir dès que possible Et parce que le bien-être de l’équipe est au cœur de notre modèle, quelques infos sur le cadre de travail :*4,66 / 5 à l’enquête Happy at Work - 96% de taux de recommandation à des prochesN°1 au classement HappyIndex®AtWork 2021, 2022 & 2023 des entreprises du secteur Conseil, n°1 au classement HappyWomenAtWork 2023Equilibre vie pro / vie perso (temps de travail maîtrisé, mesures pour accompagner la parentalité)Une politique de télétravail flexible, sans limitation de joursDes bureaux spacieux tout confort au pied du Canal Saint-MartinÉquipement pour travailler en remote + participation aux frais du télétravail (allocation mensuelle)Des séminaires d’équipe et des teambuilding pour se retrouverUne multitude d’activités sportives : via GymLib ou en rejoignant les équipes sportives de l’équipe (yoga, foot, basket, cross training, etc)Valorisation des mobilités douces (forfait mobilité durable pour les adeptes du vélo ou de la trottinette)Une School interne pour se former et se certifier sur des outils continuellement",Converteo,Consultant Senior Analytics Engineering H/F - CDI,Paris,CDI,2024-07-11
https://www.welcometothejungle.com/fr/companies/lucky-cart/jobs/lead-analytics-engineer_paris?q=2036aa70510b784c4c01c14aac4183de&o=492084d1-2c38-4e12-b16f-b28469c1f372," Élaborer et diriger la stratégie d’analyse de données de l’entreprise en concertation avec les membres de l’équipe.Proposer des architectures et orienter le choix des technologies adaptées aux divers projets analytiques de Lucky cart.Se tenir à jour des tendances et des nouvelles technologies dans le domaine du data engineering et de l’analyse de données.Collaborer avec les équipes pour intégrer des solutions analytiques performantes. Encadrer, organiser et motiver une équipe d’analystes de données et de Data Engineers.Participer activement au recrutement, à la formation continue et l’amélioration des compétences de l’équipe. Concevoir et mettre en place des flux de données et des pipelines d’analyse.Maintenir l’architecture de données, les pipelines et les processus ELT.Garantir la qualité des données et leur conformité aux normes en vigueur. Maîtriser un ou plusieurs langages structurés (Python, Javascript, Java, C/C++, Scala…),Maîtriser différents systèmes de base de données (SQL et NoSQL)Maîtriser au moins un framework de transformations de données (dbt,databricks….)Maîtriser au moins un outil de dataviz (Looker,Lightdash,Tableau,PowerBI….)Avoir une appétence pour les technologies utilisées dans le Big Data (Hadoop, Map Reduce, Spark, Kafka…),Avoir une expérience sur une plateforme Cloud (GCP, Azure, AWS,..)Être familier avec les concepts et algorithmes de statistiques, de data science, de deep learning et d’optimisation en général (recherche opérationnelle notamment),Avoir une bonne connaissance/expérience de méthodologies d’ingénierie informatique: contrôle des sources, tests unitaires, revue de code,Être curieux et avoir une forte capacité d’adaptation dans un environnement en mutation constante,Chercher constamment à élargir et approfondir ses connaissances notamment dans des domaines connexes à la data science, le e-commerce et la distribution,Partager les connaissances et compétences acquises avec les membres de l’équipe par des canaux officiels et informels,Démontrer la capacité à collaborer avec des personnes d’autres disciplines.Autonomie, organisation, bonne communication. Être familier avec les langages couramment utilisés dans la communauté data scientist (Python, R),Maîtrise des outils ETL/ELT,Avoir une ou plusieurs expériences pratiques de mise en œuvre de technologie Big Data et de leur optimisation.",Lucky Cart,Data Engineer Senior,Paris,CDI,2024-07-11
https://www.welcometothejungle.com/fr/companies/jakala/jobs/data-engineer-kafka-senior_paris?q=2036aa70510b784c4c01c14aac4183de&o=7bfdca9f-3318-4118-9d16-6e01f80bc374," Tu implémentes des modèles, processus, traitements des flux de données dans Kafka en lien avec les bases des données de l’écosystème SITu te coordonnes avec le Lead Dev pour piloter ces implémentations dans les API et applicationsTu configures et implémentes les outils de monitoring de la donnéeTu accompagnes les Développeurs pour l’implémentation de connecteurs Kafka dans les applications et APITu t’appuies sur les documentations et spécifications des modèles, processus et flux de données établies par le Lead Data pour rédiger le cahier des charges technique, estimer la faisabilité et le plan de chargeTu es garant de la bonne implémentation des travaux et tu participes à la création du backlog, son périmètre et sa planification avec le Product Manager TechniqueTu prends en charge l’intégration et les tests techniques des composants déployés et implémentésTu participes au déploiement en production avec les DEVOpsTu participes à la rédaction de la documentation technique Python 3Kafka, Kafka connectRedis, Redis StreamSQL, ElasticSearch DSLAgilité : Software Craftsmanship, Kanban, Clean CodeGit, Gitlab, Jira, ConfluenceAPI Platform, API REST Tu es organisé·e, rigoureux·se et autonomeTu sais être précis·e et clair·eTu aimes travailler en équipe et tu favorises la résolution collective des problèmesTu apprécies travailler en environnement DevOps (intégration continue, tests automatisés)Tu es passionné·e par ton métier, aimes le faire partager Entreprise en plein développement , véritable tremplin et accélérateur de progressionProjets et missions sur des champs techniques très variés Mise en situation de responsabilité rapidement Bureau en plein centre de Paris et de CaenTélétravail possible jusqu’à 3 jours par semaine Mutuelle d’entreprise 50% de frais de participation pour les transportsTicket restaurant d’une valeur de 10,83€ (60% prise en charge par l’employeur) Poste à pourvoir en CDIRémunération selon profil et expériencePoste ouvert aux personnes en situation de handicap Une pré-qualification avec notre Talent AcquisitionUn entretien avec un Référent Technique MétierUn challenge technique au travers d’un cas usage personnalisé SoyHuCeUn dernier entretien avec notre CEO",JAKALA,Data Engineer / Kafka Senior,Paris,CDI,2024-07-11
https://www.welcometothejungle.com/fr/companies/jakala/jobs/data-engineer-senior-cdi-paris-ou-caen?q=2036aa70510b784c4c01c14aac4183de&o=6696f7e0-63be-4373-8470-85bff272293b," Contribuer au développement de notre offre Data et à l’industrialisation de plateformes data pour nos clientsComprendre, analyser et proposer des solutions techniques répondant aux besoins des Plateformes digitales et des projets internesDéfinir l’architecture logiciel ETL / ELT en collaboration avec tes pairsTravailler la donnée sous toutes ses formes (stockage, élaboration de modèles, structuration, nettoyage)Rédiger de la documentation technique (diagrammes UML, documentation d’API, …)Partager ton savoir-faire avec les différents membres de l’équipeConcevoir et développer des connecteurs entre les sources de données (internes et/ou externes) et la plateformeConcevoir et développer des pipelines de traitements de données (batch et/ou temps réel) dans un environnement Big Data,Assurer une veille technologique et savoir mener à bien un projet de R&D. Cartographier des données et des flux de donnéesImplémenter des algorithmes d’analyse de données pour l’industrialisationCollecter, consolider et modéliser de gros volumes de données (Big Data, Data Warehouses, Data Lakes)Développer et automatiser des flux de données et leurs visualisations en dashboards, reportingS’assurer de la scalabilité, sécurité, stabilité et disponibilité des données de la plateformeAnalyser les données web pour répondre aux questions métiers et participer à la construction de l’architecture Big DataMettre en place du séquencement et de la supervision des flux précitées en gérant les cas limites De script ETL : Python (Pandas, API Rest, FaaS), Java (ex Kafka Connect, SOAP), Spark (PySpark, Databricks, Delta Lake)De script ELT : DBT (ex. Snowflake, PostgreSQL)Connaissance conception et administration d’entrepôt de données : Snowflake, Big Query, PostgreSQLLakeHouse: Delta LakeConnaissance message broker : RabbitMQ, KafkaCompétences cloud : Kubernetes, Conteneurisation, Fournisseur cloud (AWS, GCP ou Azure), Infrastructure As Code (Terraform)Expérience d’architecture et de dimensionnement d’une architecture cloud via des services managésCartographie des données Entreprise en plein développementEnvironnement innovant, véritable tremplin et accélérateur de progressionProjets et missions sur des champs techniques très variésMise en situation de responsabilité rapidementBureau en plein centre de Paris et centre de CaenTélétravail possible jusqu’à 3 jours par semaineUne mutuelle d’entreprise50% de frais de participation pour les transportsTicket restaurant d’une valeur unitaire de 10,83€ Poste à pourvoir en CDIRémunération selon profil et expériencePoste ouvert aux personnes en situation de handicap Une pré-qualification avec notre Talent AcquisitionUn entretien avec un Référent Technique MétierUn challenge technique au travers d’un cas usage personnalisé SoyHuCeUn dernier entretien avec notre CEO",JAKALA,Data Engineer Senior,,CDI,2024-07-11
https://www.welcometothejungle.com/fr/companies/jakala/jobs/data-engineer-confirme-cdi-paris_paris?q=2036aa70510b784c4c01c14aac4183de&o=5289e6f3-19c2-40cc-b99a-d2671d6eff50," Contribuer au développement de notre offre Data et à l’industrialisation de plateformes data pour nos clientsComprendre, analyser et proposer des solutions techniques répondant aux besoins des Plateformes digitales et des projets internesDéfinir l’architecture logiciel ETL / ELT en collaboration avec vos pairsTravailler la donnée sous toutes ses formes (stockage, élaboration de modèles, structuration, nettoyage)Rédiger de la documentation technique (diagrammes UML, documentation d’API, …)Partager votre savoir-faire entre les différents membres de l’équipeConcevoir et développer des connecteurs entre les sources de données (internes et/ou externes) et la plateformeConcevoir et développer des pipelines de traitements de données (batch et/ou temps réel) dans un environnement Big DataAssurer une veille technologique et savoir mener à bien un projet de R&D Cartographier des données et des flux de donnéesImplémenter des algorithmes d’analyse de données pour l’industrialisationCollecter, consolider et modéliser de gros volumes de données (Big Data, Data Warehouses, Data Lakes)Développer et automatiser des flux de données et leurs visualisations en dashboards, reportingS’assurer de la scalabilité, sécurité, stabilité et disponibilité des données de la plateformeAnalyser les données web pour répondre aux questions métiers et participer à la construction de l’architecture Big DataMettre en place du séquencement et de la supervision des flux précitées en gérant les cas limites De script ETL : Python (Pandas, API Rest, FaaS), Java (ex Kafka Connect, SOAP), Spark (PySpark, Databricks, Delta Lake)De script ETL : DBT (ex. Snowflake, PostgreSQL)Connaissance conception et administration d’entrepôt de données : Snowflake, Big Query, PostgreSQLLakeHouse : Delta LakeConnaissance message broker, RabbitMQ, KafkaCompétences cloud : Kubernetes, Conteneurisation, Fournisseur cloud (AWS, GCP ou Azure), Infrastructure As Code (Terraform)Expérience d’architecture et de dimensionnement d’une architecture cloud via des services managésCartographie des données Entreprise en plein développement , véritable tremplin et accélérateur de progressionProjets et missions sur des champs techniques très variés Mise en situation de responsabilité rapidement Bureau en plein centre de Paris et de CaenTélétravail possible jusqu’à 3 jours par semaine Mutuelle d’entreprise 50% de frais de participation pour les transportsTicket restaurant d’une valeur de 10,83€ (60% prise en charge par l’employeur) Poste à pourvoir en CDIRémunération selon profil et expériencePoste ouvert aux personnes en situation de handicap Une pré-qualification avec notre Talent AcquisitionUn entretien avec un Référent Technique MétierUn challenge technique au travers d’un cas usage personnalisé SoyHuCeUn dernier entretien avec notre CEO",JAKALA,Data Engineer Confirmé.e,Paris,CDI,2024-07-11
https://www.welcometothejungle.com/fr/companies/jakala/jobs/ml-mlops-engineer-confirme-e-cdi-paris-ou-caen_JAKAL_a5r9Z6J?q=2036aa70510b784c4c01c14aac4183de&o=f97cfd9a-6441-4fa7-ae56-0f0b857a7cd5," Etudier et mettre en place les meilleures solutions techniques pour gérer de grands volumes de données, de la collecte de données d’entraînement jusqu’au déploiement en productionIndustrialiser les modèles Machine Learning et assurer leur mise en production selon les standards de qualités définis en interneMaîtriser la qualité du code mis en production pour assurer le run (Git, évaluation de performance de modèle)Travailler en collaboration avec l’équipe Data (Data Engineer, Data Scientist, PO Data) pour intégrer des modèles ML en tant que livrables dans un produit ou un projetGérer l’environnement Big Data (GCP/AWS/Azure, au choix) et d’en assurer la stabilité et l’optimisation dans le cadre des projets Data inscrits dans la RoadmapMettre en place les pipeline de CI/CD de projets MLAutomatiser le processus de structuration de la DATA en amont de l’intervention d’un Data Scientist (création et maintenance du code)Concevoir et automatiser le processus de structuration de la DATA et des outils nécessaires permettant aux experts de l’équipe un accès facile aux données pour développer les cas d’usage métier (Data science/IA, Reporting, Analytics, Activation média, …)Être l’interlocuteur privilégié  de l’équipe projet et avant-projet pour les infrastructures MLAssurer avec l’IT le processus de qualité et la fiabilité des flux de données (scalabilité, sécurité, performance, recovery) en conformité avec les standards définis au niveau projetAssurer la rédaction et la maintenance  d’une documentation claire sur les différents projets développésÉvaluer l’architecture et l’environnement Data actuels et prévoir des mises à jour nécessaires selon les besoins de l’équipeDévelopper les APIs/ connecteurs nécessaires pour intégrer notre DATA dans les environnements cibles Maîtrise des environnements Cloud GCP et AWSLangages Python, Terraform, SQLModélisation, traitement et transformation des données complexes et multi-sourcesConception et déploiement d’une architecture distribuée pour le traitement de donnéesMaîtrise des aspects d’authentification, de sécurité, de containerisation et d’orchestrationMaîtrise des technologies: Base de données (SQL, noSQL, BigQuery, Snowflake), Suite ELK, Queue de messages (rabbitMQ, Kafka, …), Containerization (Docker, Kubernetes), Ordonnancement (Airflow)Expertise sur l’utilisation et le déploiement d’outils ML tel que MLFlow ou KubeflowMaîtrise des différentes librairie Python ML et data :  tensorFlow, keras, scikit-learn, pandas, numpyMaîtrise des outils Web-services Python : FastAPI, Flask, DashConnaissances et veille active sur les outils de qualité de code en Python (pylint, mypy, flake8…) : black, flake8, mypy, pylint, pytest Génération et vérification de code de production haute qualitéArchitecture logicielleArchitecture CloudCapacités de restitution, accompagnement et conseil clientMise en place d’outils d’aide au développement et déploiement de projet Data ScienceAutomatisation GitLab Esprit d’équipe et sens de l’écoute.Autonomie et proactivité.Curiosité et créativité.Sens relationnel et capacité d’adaptationRigueurEsprit d’analyse Entreprise en plein développement , véritable tremplin et accélérateur de progressionProjets et missions sur des champs techniques très variés Mise en situation de responsabilité rapidement Bureau en plein centre de Paris et de CaenTélétravail possible jusqu’à 3 jours par semaine Mutuelle d’entreprise 50% de frais de participation pour les transportsTicket restaurant d’une valeur de 10,83€ (60% prise en charge par l’employeur) Poste à pourvoir en CDIRémunération selon profil et expériencePoste ouvert aux personnes en situation de handicap Une pré-qualification avec notre Talent AcquisitionUn entretien avec un Référent Technique MétierUn challenge technique au travers d’un cas usage personnalisé SoyHuCeUn dernier entretien avec notre CEO",JAKALA,ML / MLOps Engineer Confirmé·e,,CDI,2024-07-11
https://www.welcometothejungle.com/fr/companies/meltone-advisory/jobs/data-engineer-h-f_paris?q=2036aa70510b784c4c01c14aac4183de&o=4a3732de-0923-4cb6-a6be-1bb1c852d65b," Transformations digitales,Optimisation des processus,Amélioration de la qualité de l’information,Mise en œuvre et évolution de systèmes d’information,Assistance à la gestion de projet Concevoir des solutions pertinentes et innovantes en tenant compte de tous les enjeux du contexte clientImplémenter et optimiser ces solutions dans les règles de l’artConseiller les clients dans leurs choixTransmettre ton savoir-faire et participer à la capitalisation de connaissance des utilisateurs 1. Premier échange RH de 30 minutes par visio avec notre équipe recrutement, Amina ou Sarah, qui te  présentera MeltOne, et  échangera sur ton parcours et ce que tu recherches ;2. Echange d’1h avec un Consultant Senior ou un Manager avec qui tu rentreras plus en détail sur tes réalisations et les challenges qui t’attendent chez MeltOne ;3. Echange d’1h avec un manager dans nos locaux afin de te présenter notre environnement de travail et aussi de valider ton niveau technique par le biais d’un test.",MeltOne Advisory,Data Engineer H/F,Paris,CDI,2024-07-11
https://www.welcometothejungle.com/fr/companies/skill-and-you/jobs/alternance-data-engineer-h-f_montrouge?q=2036aa70510b784c4c01c14aac4183de&o=d6e97ba6-255d-4305-b0a1-85f927ac599a," Aide au pilotage des opérations (définitions d’indicateurs, création de modèles SQL, …)Création de dashboard de pilotage/reporting (via Looker)Aide à l’automatisation de processus métierRéalisation d’études pour estimer ou mesurer l’impact d’évolution de processus métier Intégrer une équipe d’expertsManagement de proximitéSalaire : gratification minimale en vigueurEquilibre vie personnelle et professionnelleDes challenges à hauteur de vos ambitionsUne possibilité d’être intégré.e en CDI à la fin de l’alternanceCarte titre-restaurant SodexoUne mutuelle et une prévoyance d’entreprisePrime de participation sur les résultats de l’entrepriseJournées conventionnelles définies par la Direction générale De formation supérieure Bac +2/3 spécialisée en DataMaîtrise d’un langage SQL (BigQuery est un plus, mais ça peut être SQLServer, PSQL, …)Maîtrise d’un langage de programmation back (idéalement Python)Capacité de reporting data (Looker, tableau de bord Excel, …)Être capable de se mettre à la place d’équipes métiersAvoir des facilités de communication pour travailler avec les différentes équipesSens des priorisation et gestion/suivi de projetsCapacité d’apprentissage et “débrouillardise” dans l’utilisation des outils techniques",Skill and You,Alternance Data Engineer - H/F,Montrouge,Alternance(12 à 24 mois),2024-07-11
https://www.welcometothejungle.com/fr/companies/mp-data/jobs/data-engineer-h-f_toulouse_MD_kJ9O1dW?q=2036aa70510b784c4c01c14aac4183de&o=9bcd5c8d-40c6-4045-a72f-771eb39283f5,,MP DATA,Data Engineer (H/F),Toulouse,CDI,2024-07-11
https://www.welcometothejungle.com/fr/companies/bpce-infogerance-technologies/jobs/ingenieur-projet-support-it-f-h_lyon?q=2036aa70510b784c4c01c14aac4183de&o=8b5ecc37-dc23-4b7a-8086-1d7363f80d1e," Assurer le pilotage des évolutions techniques ainsi que des outils de pilotage de l'activitéAssurer la mise en place et le suivi des campagnes de non-régression des évolutions techniquesCoordonner et assurer la communication des solutions validées avec les établissementsAssurer la comitologie et le reporting projetMettre en place une relation rapprochée et durable avec nos bénéficiairesAnalyser les incidents ou dysfonctionnements récurrents rencontrés et proposer des axes d'améliorationParticiper au suivi opérationnel des indicateurs de gestion de parc et de gestion de stockParticiper au suivi des indicateurs mensuels de l'activité avec le partenaire TibcoFaire évoluer les indicateurs opérationnels de suiviParticiper à l'animation de l'équipe TCO en mode agileIntervenir lors des ateliers opérationnels sur les projets d'intégration de nouveaux bénéficiairesCoordonner le cas échéant les différents acteurs de notre équipe sur les plans d'action d'urgenceSuppléer le responsable de domaine sur le suivi des actions opérationnelles (Daily), la facturation des équipements vers la direction financière Vous avez le sens de l'analyse et aimez rechercher, analyser et restituer des data au travers de PowerBI ou autres solutions.De formation supérieure, vous justifiez d'une expérience significative en suivi de projetVous avez de bonnes connaissances généralistes sur le développement Curieux et rigoureux, vous avez un esprit analytique des situations à investiguerVous avez la capacité de comprendre et synthétiser des sujets variés avec différents partenairesVous avez la volonté de vous investir dans un domaine riche humainement dans un monde en lien avec la banqueVous souhaitez intégrer un domaine dynamiqueVous avez des expériences en gestion de projets techniques, en animation et en gestion d'équipeNous recherchons des collaborateurs autonomes, impliqué(e)s et avec un bon esprit d'équipe. ",BPCE INFOGERANCE & TECHNOLOGIES,Ingénieur projet support IT - F/H,Lyon,CDI,2024-07-11
https://www.welcometothejungle.com/fr/companies/primelis/jobs/analytics-engineer-h-f_levallois-perret?q=2036aa70510b784c4c01c14aac4183de&o=c8a32bb3-76f9-458a-9d57-c24df3934f22," Mise en place et maintenance de flux et de modèles de données en utilisant les principes de la Modern Data Stack : DBT ou Dataform / Airflow / BigqueryDéveloppement de modèles data avec des stratégies d’ingestion de données pour diverses sources, internes ou tierces. Automatisation et rationalisation des processus afin d’assurer la scalabilité et la performance de l’infrastructure data.Mise en place et maintenance de contrôles de qualité de la donnée et d’alertes. Développement et maintenance d’ETLs pour des sources de données Martech : Google Ads, Google Search Console, Google Analytics 4. Infrastructure cloud (Google Cloud Platform est un plus)Apache AirflowDBT ou DataformGit Type de contrat : CDIDate de démarrage : asap Forte culture d’entreprise et valeurs tournées vers l’esprit d’équipe, la bienveillance et l’équilibre vie privée/vie professionnelleUne formation en continue sur l’écosystème et les technologies du digital, ainsi que sur les best-practices en média et référencement naturelEnvironnement favorisant le bien-être au travail : salle de sport en libre accès dans l’immeuble, terrasse privative Primelis, table de ping-pong, babyfoot, espaces détentes avec Playstation 5 et Nintendo SwitchÉvénements en interne organisés régulièrement : afterworks, déjeuners Primelis, teambuilding et séminairesTélétravail : 1 à 3 jours/semaine selon ancienneté & séniorité  *Carte ticket restaurant (Swile) pour les repas, mutuelle d’entreprise Alan, remboursement des frais de transports à hauteur de 50%, cantine Frichti27 jours de Congés Payés (au lieu des 25 jours légaux)8 à 11 jours de RTT par an selon les années Formation académique en Computer Science / Data Engineering / Data Science / Data analytics. Au moins une première expérience professionnelle sur un poste similaire, avec une expertise sur les modèles de données et ETLs ainsi qu’une connaissance des principes de data warehousing et des pratiques dataOps. Maîtrise de SQL et de Python.Expérience sur une infrastructure cloud, de préférence Google Cloud Platform. Premier entretien RH avec la Talent Acquisition Specialist afin d’en apprendre plus sur ton profil et tes motivations.Deuxième entretien avec la Team Lead Data et Test technique dans nos locauxDernier entretien avec le Directeur Général",Primelis,Analytics Engineer H/F,Levallois-Perret,CDI,2024-07-11
https://www.welcometothejungle.com/fr/companies/discngine/jobs/developpeur-scientifique-junior-h-f-junior-scientific-developer-m-f_paris?q=2036aa70510b784c4c01c14aac4183de&o=d20f18e4-3676-48ef-a9c8-71d8e580139f," Concevoir des applications et des solutions en mettant l’accent sur la valeur ajoutée, leur évolutivité et leur maintenabilité.Développer des applications ou de nouvelles fonctionnalités, en fonction des besoins identifiés.Intégrer des logiciels scientifiques tiers.Participer à l’analyse des besoins fonctionnels.Communiquer et gérer l’interaction directe avec le client.Supporter les projets des clients.Documentation et rapports en anglais. Le français est un plus. Design applications and solution with focus on added value, and their scalability and maintainability.Develop apps or new features, according to identified needs.Integrate 3rd party Scientific software.Participate to functional needs analysis.Communicate and manage direct interaction with the customer.Support customers’ projects.Documentation and reports in English. French is a plus.",Discngine,Développeur scientifique junior (H/*/F) / Junior Scientific Developer (M/*/F),Paris,CDI,2024-07-11
https://www.welcometothejungle.com/fr/companies/kiliba/jobs/machine-learning-engineer-f-h_boulogne-billancourt?q=2036aa70510b784c4c01c14aac4183de&o=df319cb1-4f03-4d8d-b78e-5f77b154854a," Architect scalable infrastructure for deploying models on DatabricksImplement robust CI/CD pipelines for seamless model deploymentOptimize model performance and cost-efficiency Implement and fine-tune vector databases for lightning-fast similarity searchesOptimize storage and retrieval processes for peak performance Design and conduct impactful A/B tests to drive continuous improvementDevelop comprehensive testing suites for LLM regression, performance, and responsibility 🎓 Master’s degree in Computer Science, Engineering, Statistics, or related field from a top-tier engineering school💼 At least 4 years of professional experience in machine learning or related field💻 Proven experience in MLOps, preferably with Databricks🐍 Proficiency in PySpark, Python, and ML libraries (PyTorch, TensorFlow, scikit-learn)🧮 Strong understanding of data preprocessing, feature engineering, and model evaluation📊 Hands-on experience with vector databases and statistical analysis 🔤 Background in NLP and related libraries (e.g., Hugging Face Transformers)☁️ Experience with Databricks for ML model lifecycle management 🧩 Sharp problem-solving and analytical abilities🗣️ Excellent communication and teamwork skills🚀 Adaptability and enthusiasm for working in a dynamic environment Remote friendly 🏡Contract hourly / 39h ⌚️Evolving environment 🚀Healthcare insurance AXA (50%) ⛑️Swile meal vouchers of €8.50 per working day (60% employer’s share) 🍕1 monthly & afterwork per month with all teams 🥳One activity per month with your team 🎱 Send us your CV (FR or EN) + an introductory message (no cover letter) to explain what you’re looking for (a few lines are enough).Round 1: A 10-minute chat on the phone with our Talent Acquisition Manager, Charlotte, to make sure we’re aligned on our respective expectations (this is not an interview)Round 2: HR meeting by video (or face-to-face, if you wish) with CharlotteRound 3: Meeting with your future manager, BenoitRound 4: Use case + restitution / interview with our Head of Data Science,Elias",Kiliba,Machine Learning Engineer [F/H],Boulogne-Billancourt,CDI,2024-07-11
